episode,total_steps,episode_reward,reward_ma5,epsilon,episode_steps,mean_loss,elapsed_minutes
1,781,-21.0,-21.0,0.995,781,,0.01602241595586141
2,1726,-21.0,-21.0,0.990025,945,0.005625446509236753,0.038762561480204266
3,2708,-20.0,-20.666666666666668,0.985074875,982,0.007652604036686292,0.07503161032994589
4,3638,-20.0,-20.5,0.9801495006250001,930,0.010967645339484267,0.10935843785603841
5,4458,-21.0,-20.6,0.9752487531218751,820,0.011995436174535226,0.1400359829266866
6,5328,-21.0,-20.6,0.9703725093562657,870,0.010533399263411812,0.17231159210205077
7,6427,-20.0,-20.4,0.9655206468094844,1099,0.011493832118570019,0.21224772930145264
8,7654,-21.0,-20.6,0.960693043575437,1227,0.011678135864867163,0.2566721518834432
9,8602,-20.0,-20.6,0.9558895783575597,948,0.011997914796911612,0.291495688756307
10,9576,-20.0,-20.4,0.9511101304657719,974,0.010577060966453678,0.3272836128870646
11,10446,-20.0,-20.2,0.946354579813443,870,0.00945285973664351,0.3594184199968974
12,11283,-21.0,-20.4,0.9416228069143757,837,0.014597767085529324,0.3900667349497477
13,12225,-21.0,-20.4,0.9369146928798039,942,0.00839480914285143,0.42422916094462076
14,13171,-20.0,-20.4,0.9322301194154049,946,0.007768071517232984,0.4580976963043213
15,14154,-20.0,-20.4,0.9275689688183278,983,0.008641736184317112,0.4934534271558126
16,15004,-21.0,-20.6,0.9229311239742362,850,0.012227265111069871,0.5244083126386007
17,15985,-21.0,-20.6,0.918316468354365,981,0.007897775009294084,0.5595441818237304
18,17018,-21.0,-20.6,0.9137248860125932,1033,0.009430839867900078,0.5966489990552266
19,17859,-21.0,-20.8,0.9091562615825302,841,0.006727818915394545,0.6275845805803935
20,18779,-20.0,-20.8,0.9046104802746175,920,0.00812467013110227,0.661057198047638
21,19619,-20.0,-20.6,0.9000874278732445,840,0.005249010490210605,0.6917792280515035
22,20409,-21.0,-20.6,0.8955869907338783,790,0.00835857412617182,0.7209340810775757
23,21419,-19.0,-20.2,0.8911090557802088,1010,0.0064025623159400386,0.7572993795077007
24,22486,-20.0,-20.0,0.8866535105013078,1067,0.008906039270523967,0.7961150964101156
25,23336,-21.0,-20.2,0.8822202429488013,850,0.006012730022539557,0.8277586857477824
26,24280,-21.0,-20.4,0.8778091417340573,944,0.005625150076643183,0.8624460339546204
27,25191,-21.0,-20.4,0.8734200960253871,911,0.0058056850592495,0.8956344525019327
28,26041,-21.0,-20.8,0.8690529955452602,850,0.005369114237087353,0.927085526784261
29,26928,-20.0,-20.8,0.8647077305675338,887,0.005923974817083978,0.9597321470578511
30,27796,-20.0,-20.6,0.8603841919146962,868,0.0038513098419244263,0.9916100184122721
31,28558,-21.0,-20.6,0.8560822709551227,762,0.003348695738034286,1.0201193372408548
32,29320,-21.0,-20.6,0.851801859600347,762,0.004295440912194135,1.0487621982892354
33,30371,-19.0,-20.2,0.8475428503023453,1051,0.0031185891241785396,1.0872766812642416
34,31250,-21.0,-20.4,0.8433051360508336,879,0.004094622508620722,1.1199137846628824
35,32086,-20.0,-20.4,0.8390886103705794,836,0.003556763579107127,1.1511673212051392
36,32895,-21.0,-20.4,0.8348931673187264,809,0.0052483038691369275,1.1815057476361592
37,33657,-21.0,-20.4,0.8307187014821328,762,0.005589787789229005,1.2103909214337667
38,34848,-17.0,-20.0,0.8265651079747222,1191,0.004326897126879549,1.2539455890655518
39,35795,-19.0,-19.6,0.8224322824348486,947,0.005512527666924451,1.2895766258239747
40,36763,-21.0,-19.8,0.8183201210226743,968,0.005311068942311736,1.3259714086850485
41,37661,-20.0,-19.6,0.8142285204175609,898,0.004744154215667449,1.3594690283139548
42,38580,-19.0,-19.2,0.810157377815473,919,0.004943097709442752,1.394460948308309
43,39495,-20.0,-19.8,0.8061065909263957,915,0.005803482769726798,1.4293001969655355
44,40257,-21.0,-20.2,0.8020760579717637,762,0.006382081993180205,1.4584080775578816
45,41224,-19.0,-19.8,0.798065677681905,967,0.0033277281254263207,1.4946386337280273
46,42308,-19.0,-19.6,0.7940753492934954,1084,0.007085031112354219,1.5347929080327352
47,43132,-21.0,-20.0,0.7901049725470279,824,0.0057389213228445654,1.566171415646871
48,44043,-21.0,-20.2,0.7861544476842928,911,0.0072148781646279485,1.6003037850062052
49,44864,-21.0,-20.2,0.7822236754458713,821,0.0069757212936079685,1.6316352566083272
50,45835,-19.0,-20.2,0.778312557068642,971,0.003779054662426318,1.6682596564292909
51,46724,-20.0,-20.4,0.7744209942832988,889,0.003415266326873985,1.702084489663442
52,47641,-20.0,-20.2,0.7705488893118823,917,0.00480142736373577,1.7370371222496033
53,48599,-20.0,-20.0,0.7666961448653229,958,0.003047047573992706,1.773340106010437
54,49499,-21.0,-20.0,0.7628626641409962,900,0.0052282327048467575,1.807754389444987
55,50459,-20.0,-20.2,0.7590483508202912,960,0.004134043386329722,1.8442055424054464
56,51534,-18.0,-19.8,0.7552531090661897,1075,0.003855618122252324,1.885281467437744
57,52541,-20.0,-19.8,0.7514768435208588,1007,0.0050551511801117275,1.9237205068270364
58,53449,-20.0,-19.8,0.7477194593032545,908,0.0040776540743953,1.958326224486033
59,54399,-19.0,-19.4,0.7439808620067382,950,0.006572778497573051,1.9945677598317464
60,55298,-21.0,-19.6,0.7402609576967045,899,0.004418006356022994,2.0286463538805646
61,56120,-21.0,-20.2,0.736559652908221,822,0.00547296893727461,2.060204029083252
62,56988,-20.0,-20.2,0.7328768546436799,868,0.004686197273627413,2.093522044022878
63,57942,-19.0,-20.0,0.7292124703704616,954,0.006065369160736003,2.129655317465464
64,58762,-21.0,-20.4,0.7255664080186093,820,0.004887181982716046,2.1614448547363283
65,59598,-20.0,-20.2,0.7219385759785162,836,0.0064481226720403805,2.193969182173411
66,60515,-20.0,-20.0,0.7183288830986236,917,0.003865017650813407,2.2292616804440817
67,61367,-21.0,-20.2,0.7147372386831305,852,0.0050387608772526305,2.262301476796468
68,62324,-20.0,-20.4,0.7111635524897149,957,0.0032763933028794176,2.2991079966227215
69,63346,-21.0,-20.4,0.7076077347272662,1022,0.00326924775941092,2.3381185015042623
70,64168,-21.0,-20.6,0.7040696960536299,822,0.003683899317003981,2.370196203390757
71,65028,-20.0,-20.6,0.7005493475733617,860,0.0029831884844095965,2.403712813059489
72,66101,-19.0,-20.2,0.697046600835495,1073,0.0026993430749676756,2.444607365131378
73,67041,-21.0,-20.4,0.6935613678313175,940,0.00276351267322675,2.4810933033625284
74,67986,-20.0,-20.2,0.6900935609921609,945,0.004241744575002655,2.517668871084849
75,68868,-21.0,-20.2,0.6866430931872001,882,0.0033016211308269736,2.5519663373629253
76,69888,-19.0,-20.0,0.6832098777212641,1020,0.0030971187798023297,2.59091237783432
77,70650,-21.0,-20.4,0.6797938283326578,762,0.0026701629199746284,2.620930012067159
78,71473,-21.0,-20.4,0.6763948591909945,823,0.0018622104557790822,2.6530046304066977
79,72421,-20.0,-20.4,0.6730128848950395,948,0.003733114130680306,2.6897102276484173
80,73609,-19.0,-20.0,0.6696478204705644,1188,0.0035000518354129043,2.735205634435018
